Date,Open,High,Low,Close,Adj Close,Volume
2016-09-27,72.622009,72.894341,72.095497,72.494919,70.777130,262945
2016-09-28,72.494919,72.985123,71.932098,72.422302,70.706230,222067
2016-09-29,72.622009,72.803566,70.751991,71.895790,70.192184,1440243
2016-09-30,71.169571,72.985123,70.879082,72.422302,70.706230,355170
2016-10-03,72.404144,74.800667,71.550835,74.328629,72.567383,1057282
2016-10-04,74.473869,75.309021,72.785408,73.584251,71.840652,551554
2016-10-05,73.892899,74.582802,73.348228,74.219696,72.461037,338759
2016-10-06,74.364937,74.764359,73.529785,73.802116,72.053352,238478
2016-10-07,73.802116,74.728050,73.075897,73.675026,71.929276,369080
2016-10-10,74.800667,76.089714,74.256004,75.690292,73.896782,2418803
2016-10-13,76.616219,76.688843,72.839874,73.366386,71.627945,979887
2016-10-14,73.965515,74.564651,73.021431,73.911049,72.159706,291148
2016-10-17,73.166672,74.419403,73.057739,73.638718,71.893829,192324
2016-10-18,73.911049,75.127472,73.711342,74.855141,73.081413,288656
2016-10-19,76.670685,77.596619,76.253113,76.343887,74.534889,686026
2016-10-20,75.635826,79.884209,75.635826,78.849350,76.980988,1189038
2016-10-21,78.976433,78.976433,77.342438,78.014191,76.165619,495877
2016-10-24,77.705551,80.610428,77.342438,79.811592,77.920441,839246
2016-10-25,79.866058,80.247322,78.994591,79.829742,77.938156,443028
2016-10-26,79.157990,80.065765,77.342438,77.542152,75.704765,466784
2016-10-27,78.758568,79.702660,77.887108,78.667793,76.803734,1223529
2016-10-28,79.375854,79.375854,77.941574,78.177597,76.325157,310302
2016-11-01,78.340996,78.776726,78.068665,78.086815,76.236519,236727
2016-11-02,77.360596,78.794884,77.342438,78.195747,76.342880,442937
2016-11-03,78.250214,79.575569,77.469528,78.123131,76.271973,647536
2016-11-04,78.123131,79.157990,75.926308,76.707001,74.889397,528936
2016-11-07,77.433220,80.574120,76.017090,79.357704,77.477295,329522
2016-11-08,78.849350,79.321388,78.068665,78.413612,76.555573,207050
2016-11-09,74.437561,75.526894,72.258904,74.709892,72.939613,413152
2016-11-10,76.253113,78.068665,75.399803,76.834084,75.013474,165057
2016-11-11,78.068665,78.068665,75.345337,76.271263,74.463982,536886
2016-11-15,72.331520,77.669243,69.717133,70.243637,68.579185,1747299
2016-11-16,70.860924,72.041031,69.408485,70.316261,68.650085,170350
2016-11-17,70.606750,70.751991,68.863823,69.408485,67.763832,175018
2016-11-18,69.408485,70.733841,69.408485,70.243637,68.579185,176577
2016-11-21,70.243637,70.243637,67.502159,68.754890,67.125725,183051
2016-11-22,69.717133,69.717133,67.175362,67.629250,66.026749,163016
2016-11-23,68.718575,68.718575,67.538467,68.046822,66.434433,159879
2016-11-24,67.992355,70.570435,67.356911,69.934998,68.277855,319104
2016-11-25,70.425194,70.606750,68.682266,69.717133,68.065155,171942
2016-11-28,69.717133,70.806458,68.972755,69.190620,67.551132,109068
2016-11-29,69.354019,69.880531,68.773041,69.208778,67.568855,201242
2016-11-30,70.062080,70.062080,67.574783,68.119446,66.505333,366021
2016-12-01,68.192070,68.900131,67.611092,68.192070,66.576241,130282
2016-12-02,67.792648,68.609642,67.356911,68.083138,66.469879,114623
2016-12-05,68.083138,69.462952,67.919739,69.099838,67.462494,122097
2016-12-06,69.335861,69.499260,67.937889,68.627800,67.001640,115623
2016-12-07,69.335861,69.335861,67.157204,67.756332,66.150826,208520
2016-12-08,67.901581,70.588593,67.901581,70.098396,68.437386,310266
2016-12-09,69.245087,70.443352,68.809357,69.372177,67.728386,432138
